id,key,value,type
137094154,light,no,crossing
137094154,barrier,no,crossing
137095034,ref,38,regular
137095034,exit_to,Flamingo Road,regular
137095034,highway,motorway_junction,regular
137095451,ref,73,regular
137095451,highway,motorway_junction,regular
137100077,noexit,yes,regular
137100361,ref,57,regular
137100361,highway,motorway_junction,regular
137100427,ref,27,regular
137100427,exit_to,NE-146;Saint Rose Parkway,regular
137100427,highway,motorway_junction,regular
137104058,ref,12B,regular
137104058,highway,motorway_junction,regular
137104058,old_ref,10B,regular
137104161,highway,traffic_signals,regular
137104161,traffic_signals,signal,regular
137104163,highway,traffic_signals,regular
137104163,traffic_signals,signal,regular
137104281,highway,turning_circle,regular
137106049,ref,50,regular
137106049,exit_to,Lamb Boulevard,regular
137106049,highway,motorway_junction,regular
137106481,highway,traffic_signals,regular
137106481,traffic_signals,signal,regular
137107014,power,tower,regular
137107021,power,tower,regular
137107024,power,tower,regular
137107027,power,tower,regular
137107033,power,tower,regular
137107037,power,tower,regular
137107040,power,tower,regular
137107043,power,tower,regular
137108673,barrier,no,crossing
137108673,bell,no,crossing
137108673,light,no,crossing
137108673,railway,level_crossing,regular
137109177,highway,turning_circle,regular
137109754,railway,level_crossing,regular
137110630,highway,traffic_signals,regular
137110638,highway,traffic_signals,regular
137112282,highway,motorway_junction,regular
137116511,ref,76B,regular
137116511,highway,motorway_junction,regular
137116583,ref,65,regular
137116583,highway,motorway_junction,regular
137116643,ref,48,regular
137116643,exit_to,Craig Road,regular
137116643,highway,motorway_junction,regular
137118913,ref,70,regular
137118913,highway,motorway_junction,regular
137120325,power,tower,regular
137120341,power,tower,regular
137120344,power,tower,regular
137120360,power,tower,regular
137120376,power,tower,regular
137120379,power,tower,regular
137120382,power,tower,regular
137120385,power,tower,regular
137120390,power,tower,regular
137120393,power,tower,regular
137120399,power,tower,regular
137120405,power,tower,regular
137123467,power,tower,regular
137123470,power,tower,regular
137123473,power,tower,regular
137123476,power,tower,regular
137123533,source,Bing,regular
137123533,highway,turning_circle,regular
137123545,ref,59,regular
137123545,highway,motorway_junction,regular
137126253,highway,turning_circle,regular
137127487,highway,turning_circle,regular
137127500,highway,turning_circle,regular
137128807,power,tower,regular
137128810,power,tower,regular
137128813,power,tower,regular
137128816,power,tower,regular
137128845,highway,turning_circle,regular
137128856,highway,turning_circle,regular
137131583,ref,72,regular
137131583,highway,motorway_junction,regular
137131616,ref,72,regular
137131616,highway,motorway_junction,regular
137131845,power,tower,regular
137131850,power,pole,regular
137131853,power,pole,regular
137131858,power,tower,regular
137131862,power,tower,regular
137131865,power,tower,regular
137131869,power,tower,regular
137131872,power,tower,regular
137131875,power,tower,regular
137131878,power,tower,regular
137131881,power,tower,regular
137131883,power,tower,regular
137131905,power,tower,regular
137131907,power,tower,regular
137131913,power,tower,regular
137131919,power,tower,regular
137131930,power,tower,regular
137131937,power,tower,regular
137134138,highway,turning_circle,regular
137134149,highway,turning_circle,regular
137134159,highway,turning_circle,regular
137134718,ref,3A,regular
137134718,highway,motorway_junction,regular
137134718,old_ref,3,regular
137134729,highway,traffic_signals,regular
137138345,ref,75,regular
137138345,highway,motorway_junction,regular
137139180,highway,turning_circle,regular
137139186,source,Bing,regular
137139186,highway,turning_circle,regular
137139195,source,Bing,regular
137139195,highway,turning_circle,regular
137139204,source,Bing,regular
137139204,highway,turning_circle,regular
137139209,highway,turning_circle,regular
137140906,railway,level_crossing,regular
137140906,bell,no,crossing
137140906,light,no,crossing
137140906,barrier,no,crossing
137142941,power,tower,regular
137142944,power,tower,regular
137142946,power,tower,regular
137142949,power,tower,regular
137142950,power,tower,regular
137142953,power,tower,regular
137142956,power,tower,regular
137142959,power,tower,regular
137142973,power,tower,regular
137142974,power,tower,regular
137143022,highway,turning_circle,regular
137143535,ref,46,regular
137143535,exit_to,Cheyenne Avenue,regular
137143535,highway,motorway_junction,regular
137143631,power,tower,regular
137143638,power,tower,regular
137143647,power,tower,regular
137143660,power,tower,regular
137143663,power,tower,regular
137144453,ref,80,regular
137144453,highway,motorway_junction,regular
137144865,highway,turning_circle,regular
137144877,highway,turning_circle,regular
137145592,railway,level_crossing,regular
137145592,bell,no,crossing
137145592,light,no,crossing
137145592,barrier,no,crossing
137146168,ref,44,regular
137146168,exit_to,Washington Avenue,regular
137146168,highway,motorway_junction,regular
137146228,railway,level_crossing,regular
137146228,bell,no,crossing
137146228,light,no,crossing
137146228,barrier,no,crossing
137146691,ref,84,regular
137146691,highway,motorway_junction,regular
137147010,highway,turning_circle,regular
137147078,highway,turning_circle,regular
137147084,highway,turning_circle,regular
137148296,highway,turning_circle,regular
137148307,highway,turning_circle,regular
137148317,highway,turning_circle,regular
137148663,noexit,yes,regular
137148692,railway,level_crossing,regular
137148743,ref,58,regular
137148743,exit_to,NV-604;Apex:Nellis AFB,regular
137148743,highway,motorway_junction,regular
137148795,source,Bing,regular
137148795,highway,traffic_signals,regular
137151032,highway,motorway_junction,regular
137151032,left,US-95 North;Reno,exit_to
137151032,right,Martin L King Boulevard,exit_to
137151040,highway,motorway_junction,regular
137151040,left,I-515;US-93;US-95 South;Phoenix;Downtown Las Vegas,exit_to
137151040,right,US-95 North;Reno;Martin L King Boulevard,exit_to
137151291,source,Bing,regular
137151291,highway,turning_circle,regular
137151313,source,Bing,regular
137151313,highway,turning_circle,regular
137151319,highway,turning_circle,regular
137151329,source,Bing,regular
137151329,highway,turning_circle,regular
137151404,highway,turning_circle,regular
137152254,railway,level_crossing,regular
137152258,railway,level_crossing,regular
137152461,ref,42B,regular
137152461,highway,motorway_junction,regular
137153240,highway,turning_circle,regular
137153240,source,Bing,regular
137153247,highway,turning_circle,regular
137153247,source,Bing,regular
137153586,ref,46,regular
137153586,exit_to,Cheyenne Avenue,regular
137153586,highway,motorway_junction,regular
137154591,highway,traffic_signals,regular
137155436,power,tower,regular
137155442,power,tower,regular
137155444,power,tower,regular
137155447,power,tower,regular
137155453,power,tower,regular
137155459,power,tower,regular
137155461,power,tower,regular
137157052,ref,80,regular
137157052,highway,motorway_junction,regular
137157097,source,Bing,regular
